Instrument,Common Equity - Total,Original Announcement Date Time
KALV.OQ,64980000.0,2020-12-10T12:00:02Z
KALV.OQ,74435000.0,2020-09-14T11:00:00Z
KALV.OQ,83752000.0,2020-07-01T11:00:00Z
KALV.OQ,89747000.0,2020-03-10T11:30:00Z
KALV.OQ,97787000.0,2019-12-03T12:30:00Z
KALV.OQ,101867000.0,2019-09-09T11:30:00Z
KALV.OQ,96738000.0,2019-07-15T11:30:00Z
KALV.OQ,104033000.0,2019-03-14T11:30:00Z
KALV.OQ,106951000.0,2018-12-14T12:30:00Z
KALV.OQ,26250000.0,2018-09-14T11:30:00Z
KALV.OQ,27253000.0,2018-07-30T22:45:02Z
KALV.OQ,28568000.0,2018-03-16T17:00:00Z
KALV.OQ,31079000.0,2017-12-14T17:00:00Z
KALV.OQ,26734000.0,2017-09-14T23:00:00Z
KALV.OQ,31327000.0,2017-07-27T17:00:00Z
KALV.OQ,34849000.0,2017-03-16T17:00:00Z
KALV.OQ,36036000.0,2016-08-12T17:00:00Z
KALV.OQ,43071000.0,2016-05-12T17:00:00Z
DRNA.OQ,126404000.0,2021-05-06T20:27:11Z
DRNA.OQ,137754000.0,2021-02-26T11:18:38Z
DRNA.OQ,153700000.0,2020-11-05T21:23:14Z
DRNA.OQ,162168000.0,2020-08-06T11:13:30Z
DRNA.OQ,177906000.0,2020-05-07T20:33:53Z
DRNA.OQ,152195000.0,2020-02-27T22:14:54Z
DRNA.OQ,134367000.0,2019-11-07T21:05:00Z
DRNA.OQ,160165000.0,2019-08-08T20:14:41Z
DRNA.OQ,179628000.0,2019-05-09T20:09:25Z
DRNA.OQ,200693000.0,2019-03-11T20:07:37Z
DRNA.OQ,156380000.0,2018-11-05T21:05:00Z
DRNA.OQ,64575000.0,2018-08-08T20:05:00Z
DRNA.OQ,87886000.0,2018-05-14T17:00:00Z
DRNA.OQ,101086000.0,2018-03-08T17:00:00Z
DRNA.OQ,-3779000.0,2017-11-02T17:00:00Z
DRNA.OQ,13268000.0,2017-08-10T21:05:00Z
DRNA.OQ,29089000.0,2017-05-08T17:00:00Z
DRNA.OQ,41208000.0,2017-03-30T17:00:00Z
DRNA.OQ,53132000.0,2016-11-07T17:00:00Z
DRNA.OQ,64968000.0,2016-08-04T17:00:00Z
PLYM.N,229637000.0,2021-05-07T11:00:00Z
PLYM.N,198755000.0,2021-02-26T12:03:38Z
PLYM.N,205068000.0,2020-11-06T11:30:00Z
PLYM.N,109827000.0,2020-08-06T10:30:00Z
PLYM.N,106122000.0,2020-05-08T10:30:00Z
PLYM.N,107997000.0,2020-02-27T12:08:46Z
PLYM.N,103889000.0,2019-11-07T11:30:00Z
PLYM.N,34239000.0,2019-08-08T10:30:00Z
PLYM.N,-15139000.0,2019-05-09T10:31:52Z
PLYM.N,-11607000.0,2019-03-08T11:35:07Z
PLYM.N,-4842000.0,2018-11-13T15:11:08Z
PLYM.N,-15861000.0,2018-08-08T20:39:26Z
PLYM.N,-7058000.0,2018-05-03T17:00:00Z
PLYM.N,4096000.0,2018-03-08T23:00:00Z
PLYM.N,10481000.0,2017-11-09T17:00:00Z
PLYM.N,11378000.0,2017-08-14T17:00:00Z
PLYM.N,-98467000.0,2017-06-01T17:00:00Z
PLYM.N,-98026000.0,2017-06-01T17:00:00Z
PLYM.N,,2017-11-09T23:00:00Z
PLYM.N,,2017-08-14T23:00:00Z
JBSS.OQ,230903000.0,2021-04-28T20:10:00Z
JBSS.OQ,244007000.0,2021-01-27T21:07:00Z
JBSS.OQ,223299000.0,2020-10-26T20:10:00Z
JBSS.OQ,238238000.0,2020-08-19T20:03:40Z
JBSS.OQ,243268000.0,2020-04-29T20:10:00Z
JBSS.OQ,228916000.0,2020-01-29T21:10:00Z
JBSS.OQ,234050000.0,2019-10-28T20:03:21Z
JBSS.OQ,254555000.0,2019-08-21T20:09:01Z
JBSS.OQ,244418000.0,2019-05-01T20:04:52Z
JBSS.OQ,233373000.0,2019-01-30T21:07:57Z
JBSS.OQ,221347000.0,2018-10-30T20:10:00Z
JBSS.OQ,243002000.0,2018-08-22T20:12:27Z
JBSS.OQ,236033000.0,2018-05-03T17:00:00Z
JBSS.OQ,226441000.0,2018-02-05T17:00:00Z
JBSS.OQ,218534000.0,2017-10-30T17:00:00Z
JBSS.OQ,235468000.0,2017-08-23T17:00:00Z
JBSS.OQ,226798000.0,2017-05-03T06:58:00Z
JBSS.OQ,219701000.0,2017-02-01T17:00:00Z
JBSS.OQ,234035000.0,2016-10-31T21:12:00Z
JBSS.OQ,251193000.0,2016-08-24T17:00:00Z
AMC.N,-2309400000.0,2021-05-06T21:00:22Z
AMC.N,-2885100000.0,2021-03-12T14:27:06Z
AMC.N,-2370100000.0,2020-11-02T21:24:29Z
AMC.N,-1575400000.0,2020-08-06T20:38:19Z
AMC.N,-1074000000.0,2020-06-09T20:42:16Z
AMC.N,1214200000.0,2020-02-27T22:16:49Z
AMC.N,1183300000.0,2019-11-07T11:51:02Z
AMC.N,1325100000.0,2019-08-08T11:33:18Z
AMC.N,1303500000.0,2019-05-09T10:45:00Z
AMC.N,1398000000.0,2019-02-28T21:15:00Z
AMC.N,1254900000.0,2018-11-08T21:43:11Z
AMC.N,1970300000.0,2018-08-01T11:00:00Z
AMC.N,2085300000.0,2018-05-07T17:00:00Z
AMC.N,2113200000.0,2018-03-01T17:00:00Z
AMC.N,2425200000.0,2017-11-06T17:00:00Z
AMC.N,2477500000.0,2017-08-04T17:00:00Z
AMC.N,2601700000.0,2017-05-08T17:00:00Z
AMC.N,2010734000.0,2017-02-28T17:00:00Z
AMC.N,1566781000.0,2016-11-07T17:00:00Z
AMC.N,1553926000.0,2016-08-01T11:45:00Z
AVYA.N,296000000.0,2021-05-06T11:00:01Z
AVYA.N,260000000.0,2021-02-09T11:45:00Z
AVYA.N,236000000.0,2020-11-18T12:00:01Z
AVYA.N,211000000.0,2020-08-10T11:00:00Z
AVYA.N,204000000.0,2020-05-11T11:00:01Z
AVYA.N,1113000000.0,2020-02-10T12:00:00Z
AVYA.N,1300000000.0,2019-11-20T12:02:52Z
AVYA.N,1470000000.0,2019-08-13T20:11:25Z
AVYA.N,2135000000.0,2019-05-09T11:32:44Z
AVYA.N,2132000000.0,2019-02-11T12:39:18Z
AVYA.N,2051000000.0,2018-12-04T13:09:32Z
AVYA.N,1718000000.0,2018-08-09T17:00:00Z
AVYA.N,1756000000.0,2018-05-10T17:00:00Z
AVYA.N,1867000000.0,2018-03-01T17:00:00Z
AVYA.N,-5013000000.0,2017-12-22T17:00:00Z
AVYA.N,-5209000000.0,2017-11-13T17:00:00Z
AVYA.N,,2017-12-22T17:00:00Z
AVYA.N,,2017-11-13T17:00:00Z
COLB.OQ,2275063000.0,2021-04-29T13:00:16Z
COLB.OQ,2347607000.0,2021-01-28T14:00:28Z
COLB.OQ,2301981000.0,2020-10-29T13:00:23Z
COLB.OQ,2276755000.0,2020-07-23T13:00:21Z
COLB.OQ,2213602000.0,2020-04-30T13:00:23Z
COLB.OQ,2159962000.0,2020-01-23T14:00:22Z
COLB.OQ,2161577000.0,2019-10-24T13:00:17Z
COLB.OQ,2133638000.0,2019-07-25T13:00:31Z
COLB.OQ,2088620000.0,2019-04-25T13:00:25Z
COLB.OQ,2033649000.0,2019-01-24T14:00:08Z
COLB.OQ,1981395000.0,2018-10-25T13:00:24Z
COLB.OQ,1964881000.0,2018-07-26T17:00:00Z
COLB.OQ,1947923000.0,2018-04-26T17:00:00Z
COLB.OQ,1949922000.0,2018-01-25T17:00:00Z
COLB.OQ,1328428000.0,2017-10-26T17:00:00Z
COLB.OQ,1297314000.0,2017-07-27T14:00:00Z
COLB.OQ,1275343000.0,2017-04-27T23:30:28Z
COLB.OQ,1248795000.0,2017-01-26T13:00:00Z
