Instrument,Original Announcement Date Time,ebit_ev,rev_ev
BCC.N,2021-05-06T20:24:10Z,0.08656418361175128,0.7675939776773666
BCC.N,2021-02-22T21:05:00Z,0.0479618748960595,0.7573845225796478
BCC.N,2020-10-30T20:05:00Z,0.10309113901797101,1.0334884248025267
BCC.N,2020-07-31T20:15:00Z,0.03272966254528849,0.7834944702837854
BCC.N,2020-05-07T20:30:00Z,0.02195508900620819,0.9901054921710932
BCC.N,2020-02-24T21:30:00Z,0.015429071782581084,0.6870264716192206
BCC.N,2019-11-07T13:11:42Z,0.030178475048602712,0.8892259105861045
BCC.N,2019-08-05T10:18:33Z,0.033280231417733674,0.9079037556566258
BCC.N,2019-05-07T10:13:07Z,0.015046377506659695,0.7287084328858565
BCC.N,2019-02-26T11:06:36Z,-0.06859221507670854,0.9065040521517662
BCC.N,2018-11-06T11:05:54Z,0.01784430404192901,0.7924623454469305
BCC.N,2018-08-06T09:45:35Z,0.03737732711179357,0.7160455265099056
BCC.N,2018-05-04T23:00:00Z,0.028433906615614856,0.6556482939571611
BCC.N,2018-02-26T23:00:00Z,0.012330405619663035,0.6067491943794938
BCC.N,2017-10-31T17:00:00Z,0.03482578820324497,0.761503870811459
BCC.N,2017-07-27T11:07:00Z,0.028214237782905733,0.7567777251713267
BCC.N,2017-05-03T17:00:00Z,0.014840756064196497,0.6846638983743882
BCC.N,2017-02-24T17:00:00Z,-0.0025449030590495836,0.7627517420459715
BCC.N,2016-10-26T17:00:00Z,0.021794056511572967,0.7438808400531497
BCC.N,2016-07-28T17:00:00Z,0.030127401570780536,0.829823679106434
CIT.N,2021-04-28T12:10:50Z,0.028846906791497207,0.06342032268066955
CIT.N,2021-01-26T13:12:31Z,0.01912179371606898,0.05961882765978901
CIT.N,2020-10-16T13:43:34Z,0.02009500454719708,0.058517553857888184
CIT.N,2020-07-21T10:42:48Z,0.009224273232914821,0.05216194737881432
CIT.N,2020-04-21T10:32:20Z,0.016873144965880015,0.05917057811800269
CIT.N,2020-01-28T11:47:49Z,0.01829990454860677,0.05316122271370266
CIT.N,2019-10-22T11:46:34Z,0.012649298703512746,0.05052053239766606
CIT.N,2019-07-23T10:58:35Z,0.015212192703299406,0.04813623418790516
CIT.N,2019-04-23T10:59:16Z,0.01412748795493588,0.049900337786084784
CIT.N,2019-01-29T11:30:15Z,0.011126402826337771,0.04698655524622005
CIT.N,2018-10-23T10:30:22Z,0.012203070308383563,0.040840355854119506
CIT.N,2018-07-24T10:30:13Z,0.014947091304145215,0.038929165476956774
CIT.N,2018-04-24T17:00:00Z,0.008629456299093327,0.0346427173964291
CIT.N,2018-01-30T17:00:00Z,0.015578705811800436,0.039715365686882616
CIT.N,2017-10-24T11:41:00Z,0.012023484304397496,0.0396994315921317
CIT.N,2017-07-25T17:00:00Z,0.00984573831222022,0.031930047659140044
CIT.N,2017-04-24T11:30:00Z,0.006649024647747958,0.02628325515163457
CIT.N,2017-01-31T12:30:00Z,-0.015348894101038834,-0.00040021471724771746
CIT.N,2016-10-25T11:30:00Z,0.006955268195258329,0.026009305987528326
CIT.N,2016-07-28T12:06:00Z,0.009774964159316264,0.027152678220322954
MSCI.N,2021-04-27T10:45:00Z,0.006878650448842196,0.012995405802044061
MSCI.N,2021-01-28T11:56:11Z,0.005941320665437976,0.01135223526668911
MSCI.N,2020-10-27T10:48:16Z,0.007087233602001492,0.013332069886601301
MSCI.N,2020-07-28T10:45:00Z,0.007181454581770878,0.01370607390618275
MSCI.N,2020-04-28T11:00:00Z,0.007859180028402614,0.015627843204996453
MSCI.N,2020-01-30T12:03:57Z,0.007745780460389151,0.01735031268697075
MSCI.N,2019-10-31T11:00:01Z,0.009979922835110224,0.01957538947180824
MSCI.N,2019-08-01T11:04:42Z,0.008731044814917896,0.01750422055871936
MSCI.N,2019-05-02T11:03:00Z,0.008531376103275739,0.019787479397522168
MSCI.N,2019-01-31T12:04:00Z,0.014818010999993341,0.02468858489140421
MSCI.N,2018-11-01T11:04:55Z,0.010405370128910704,0.02113442824396811
MSCI.N,2018-08-02T11:03:00Z,0.011535688969835263,0.022785187063012097
MSCI.N,2018-05-03T17:00:00Z,0.011336645737483858,0.023959531690869642
MSCI.N,2018-02-01T17:00:00Z,0.012216048972604842,0.02659952298536375
MSCI.N,2017-11-02T17:00:00Z,0.012534699037699722,0.027281867151025537
MSCI.N,2017-08-02T12:11:37Z,0.01363888127394154,0.029685049322437186
MSCI.N,2017-05-03T23:41:00Z,0.012787900868199201,0.0296176519735156
MSCI.N,2017-02-02T17:00:00Z,0.014346468623880998,0.033662559865182407
MSCI.N,2016-10-27T17:00:00Z,0.013634270643007826,0.03189383452316002
MSCI.N,2016-07-28T17:00:00Z,0.014176772699786948,0.033719222435215204
FIS.N,2021-05-06T11:00:01Z,-0.0012506513344984031,0.03124689341928956
FIS.N,2021-02-09T12:04:28Z,-0.011083197342530873,0.032266797531020526
FIS.N,2020-10-29T11:05:57Z,0.004324754341642342,0.02986228861820857
FIS.N,2020-08-04T11:00:00Z,0.0031835380969315067,0.029840632414908617
FIS.N,2020-05-07T11:00:00Z,0.003195294253088411,0.03345277452723173
FIS.N,2020-02-13T12:00:00Z,0.003177296392036817,0.0328746889850992
FIS.N,2019-11-05T12:06:25Z,0.006225306424615149,0.029085785977258197
FIS.N,2019-08-06T11:00:00Z,0.0064173217183842775,0.04429210284061305
FIS.N,2019-04-30T11:08:46Z,0.006943458532880235,0.04622231133376907
FIS.N,2019-02-12T12:07:43Z,0.011463845129492736,0.05263167880426008
